projection gaus1 gaus2 gaus3 gaus4 gaus5 cos1 cos2 cos3 cos4 cos5
COX6C 7.94058689423949e-06 0.00276451402555722 9.67059428158556e-05 8.74947910106672e-05 0.000162542291584855 0.000392339680984843 0.49942690066684 0.135006809516997 0.17666159226645 0.4370321231147 0.000702406149694745
KIF2A 0.294455958412714 0.191135574464087 0.156694804181982 0.0653928461328097 0.0364930717945033 0.0317959891805634 0.284128830873106 0.953886987310713 0.504135446228044 0.367855955648731 0.177217971814995
ESRP1 0.000576646885422916 0.00339043529372174 0.0001907993364616 0.000123356218806325 0.000156577568727334 0.000370800155368611 0.87933923622153 0.307582551710335 0.307050969098801 0.600298118314548 0.00328311322524633
RPL39 0.00573170000016643 0.0375894250826155 0.000759996436311527 0.000103210188668101 5.50369299099351e-05 6.10477391120856e-05 0.580776235406062 0.751047068382134 0.692020492535114 0.761398408975094 0.113157661975468
MFF 0.00480308287028497 0.0615529412900079 0.0327511046329665 0.0246898648718188 0.0233077371223201 0.0282447844812039 0.381897796570424 0.230747916165811 0.401355935173084 0.845034407950376 0.0707163631852326
AATF 0.0200414625457678 0.0473322675377128 0.00403778806496602 0.0032134410654332 0.00474579703360367 0.00804280863214302 0.483667560009287 0.336063770654383 0.47909100775438 0.405254531305022 0.0272771789980193
ICMT 0.0905893575191087 0.184532717135411 0.0279367640421526 0.011562167651235 0.00820665047730196 0.00865243398592552 0.328332596703837 0.97768778176753 0.419145292709407 0.644490721862201 0.336299872043855
NENF 0.0455953914049637 7.99476173466744e-08 7.25576618322837e-08 3.91260317597987e-07 7.02166966370932e-06 4.62183140381711e-06 0.546496803200825 0.0384901417849499 0.836986605934096 0.100288814837546 4.04892958461023e-06
ZNF585A 0.113110025128175 0.0532917500548866 0.0896634032138611 0.119664170957009 0.158508121887252 0.211803495034476 0.205894770211921 0.877913507259845 0.191351801844504 0.599448857797381 0.137664324735332
COL6A3 5.24657244570948e-15 0.070478616316735 0.136629574146982 0.434691105155228 0.646167416550789 0.760934840499388 0.10001565821944 0.674944008675416 0.255107757211991 0.324614409556428 0.00283847146787042
RPS5 0.00581572361329119 0.322865683337731 0.0522446422876316 0.0197604484902096 0.0127952111635278 0.0112830126369995 0.296714471066717 0.569719152624599 0.594245760764126 0.946902643262619 0.0457689905623405
C4B 7.21491921624536e-10 0.879046610343605 0.726087417463284 0.90037416354023 0.842987831584424 0.692046039305278 0.0559476171617378 0.266509357286511 0.125892535771883 0.644573907853922 0.08658118226775
C12orf57 0.336024957259421 0.000865048183410044 4.76842400336519e-05 0.000114664929704134 0.000285751121175459 0.000700342275117949 0.639138414428185 0.416771700077088 0.640789226188895 0.747570631348193 0.000188581442403635
TUBB 0.00335120754351625 0.0466336309812014 0.00940183136342831 0.00493164881257258 0.00507760108568656 0.00671566567278759 0.372438351203867 0.36821526297406 0.536522973388331 0.581453869436472 0.050004498854148
H3F3A 1.35581262044049e-05 0.00349610721960758 5.05991247170545e-05 1.68213983047227e-05 1.91878094226716e-05 3.8544922885464e-05 0.23342936503075 0.161457609061703 0.225733992469205 0.925250792030557 0.00224797649930242
CAB39L 0.157365353829524 0.174020554634666 0.11670521974926 0.102461360512077 0.107541905429482 0.137408571857728 0.718689944164717 0.513215426478217 0.0580098410590089 0.325129279234004 0.201627658204218
KRT7 2.84965203818377e-05 0.136284835608527 0.211202114912575 0.215734476973276 0.236534304392776 0.275116321017406 0.0408190374909281 0.861869754975759 0.53308861920161 0.470708279710791 0.486366525653528
RPL21 0.00292758399729021 0.0555013339348904 0.00816127280872347 0.00188245672556642 0.00109869294004916 0.000948595720059231 0.0182934445435541 0.315173062135077 0.0169123398962721 0.651230281187927 0.0609452230425329
GPX1 0.00487314363357172 0.132926581623334 0.0257566975260086 0.00523590202898649 0.00252521090067415 0.00189489230725137 0.121518667870188 0.0909358343156409 0.243564899855767 0.98181354113571 0.883875148067388
TMEM176A 0.126233949572998 0.421353166696822 0.737358062772511 0.830804122480849 0.878872814680971 0.915580073522786 0.238137534746164 0.16536402484013 0.639942297917494 0.512762255534715 0.612232222921001
ZNF146 0.00257860270537702 0.676107259317314 0.462763386547093 0.342928865078158 0.330684073762374 0.378602573042558 0.159691720108818 0.493807552535993 0.726715192180319 0.970393627996146 0.714657123444497
AP1G1 0.000341351098615772 0.701357075471522 0.286216547890472 0.150649423105021 0.129487736460003 0.156556153624722 0.392592623863637 0.906684539071246 0.619422767955364 0.931390949294625 0.617433437229738
PLK2 8.0929306007782e-05 0.0471858160000685 0.00321314851021093 0.00191005068898165 0.00254549458339215 0.00530734838324687 0.495581575848766 0.845643794749879 0.392341230307844 0.65890062248411 0.0296016617391369
NKG7 0.219308540689882 0.480097123455827 0.722258697376931 0.882605469982454 0.956729631336336 0.959081302376505 0.0724589916141014 0.388161256904356 0.73691001061159 0.763471599199544 0.152312179896204
ASCC3 0.0121692308183468 0.365338718949593 0.0308758931094004 0.0138758443249891 0.0136246554562962 0.0202577325155924 0.0933015249997414 0.387646447017296 0.655098264828327 0.775560933264453 0.175577879682977
PDZK1IP1 0.318268440457198 0.359721389846622 0.312639738182163 0.327495171452598 0.443524040306169 0.606904862685917 0.132222943819081 0.895126024834472 0.854595109119924 0.0413106224127615 0.336977284052889
CD63 3.24476105546534e-05 2.90208829050176e-05 7.74661668301313e-06 5.00613383480619e-06 1.08369447150425e-05 6.88447966790129e-06 0.64458140525485 0.984564883118813 0.200442867958338 0.363475672178336 0.000238656003805904
TCEB2 0.154943402529993 0.04324197974759 0.0346759567107361 0.0517344262835321 0.0668130018456804 0.0793395728067816 0.216747896715725 0.492201618454748 0.640187807995633 0.834051489262102 0.047209588131913
RPL34 5.36183211696795e-06 0.102879172433338 0.0202427599686537 0.00957643441062661 0.0101822021603474 0.0157867044024473 0.0591540704508936 0.474327851561152 0.558021343899448 0.792663426629623 0.0530485472331228
NBR1 0.000196777972683582 0.724233880447664 0.391786990682128 0.19836124505591 0.138152011488694 0.125213608204484 0.125159593625243 0.869264293656761 0.99135205248634 0.741934989156129 0.688372209907205
CDC37 0.00333525697300807 0.175325701055193 0.294581305227151 0.507368711713778 0.536764597651603 0.454922489970773 0.719002992914355 0.0952967596111494 0.81307267008454 0.327999196024441 0.0228163939048056
SLC35F5 0.000125433698867972 0.649205985911261 0.322281211434239 0.247110304555386 0.227213616375073 0.220665800343371 0.724117373349425 0.517334925795544 0.773966509754384 0.736628076420517 0.297945578780692
SUSD6 0.0122767426226416 0.154735420434112 0.222247367616935 0.405571073980565 0.48893965766377 0.500900226228584 0.448559595670778 0.168921088204045 0.771252885415234 0.657181003853182 0.0241213266219751
WIZ 0.105007004386777 0.404495230611 0.462254484531393 0.327625038219333 0.31145012379653 0.337112969055257 0.803234705835265 0.220019736165824 0.489159823322855 0.130980236410624 0.787579672866035
YAF2 0.160074341436044 0.75602822466138 0.466429594959976 0.311279808751346 0.269941158555075 0.261030222428688 0.400975783982939 0.713067258887887 0.448642801206011 0.707827717525524 0.952753517829796
TMEM43 0.0519401531771804 0.933763572217719 0.643507795456276 0.340450996533856 0.26408082225075 0.272020738351294 0.338011893425719 0.666970032347241 0.00476572874079983 0.831637912199617 0.902855704678002
APOA1BP 0.903418532823092 0.163514180273142 0.0264933412416657 0.0326741415001958 0.0456124869425089 0.0678415326759885 0.510369881905191 0.894169593690813 0.141189433003632 0.967327731134975 0.0367999169915721
CLCN7 0.15379858424883 8.32332919106227e-05 0.00667907655239941 0.0242811245543746 0.0472487550483531 0.0764472581417452 0.369222017897139 0.75344485407284 0.166297844319144 0.0213006529220758 0.00913479707237053
OAZ1 0.000299105812118339 0.00418327144626351 6.91576571679731e-05 3.70346781445319e-05 5.0821349946939e-05 8.89787851395818e-05 0.0609481559244193 0.271027068629818 0.0234683743141162 0.948749414901501 0.0010430381236648
WEE1 0.0027049464220511 0.0932332668509614 0.0278192984075272 0.0219731390885227 0.0257075583884152 0.0353333497496178 0.938195684749723 0.817850788652134 0.160970440290468 0.188835005082964 0.0633523161278029
SUB1 0.000385048856297088 0.00397098259070905 0.00273853434914229 0.00167882116349749 0.00179435286201945 0.00294238092550736 0.966476448623071 0.112846510988323 0.349310128806195 0.362467466469837 0.0337937266151566
ACTN4 0.00913935824122558 0.0508885904442015 0.00208384870150957 0.00102975750950129 0.00103476799719582 0.00139892298293776 0.0134976016755313 0.711477077586842 0.311689900767848 0.999371416333987 0.0487835661173255
HIPK1 0.00804934477142771 0.518186895355135 0.415699018578048 0.427643803275606 0.483786007304717 0.577421124947097 0.131438540772674 0.540201298925941 0.410812864970815 0.977337596214701 0.329068448466767
CCT4 0.0196030884978708 0.0934434147578983 0.00226234236658285 0.000549385507505384 0.000383992429213054 0.000498019821944196 0.115475658436746 0.192979231691353 0.159705223966427 0.970922391131748 0.102686427146774
CCNY 0.0676535539781347 0.487795591892328 0.0735807213894082 0.0455751846518951 0.0497701678387209 0.0721178518272578 0.088929099498761 0.688848533244873 0.421276605703285 0.910285214848584 0.208768605937842
H2AFJ 0.00211111214807047 0.00694845993554716 0.000567015450737784 0.000587385268105312 0.000977950063143163 0.00191391276695052 0.047535987175416 0.0937331151707652 0.045275417556333 0.999039830756967 0.00302825797250228
LTBP2 0.00476281409662527 0.0140788576581491 6.55723934506192e-05 1.81826553559139e-05 1.1027970049593e-05 1.76688626786214e-05 0.353959780849809 0.618874695454555 0.390474482672598 0.840436840139425 0.0158299969978999
RPL13 0.00242385569901404 0.000124628936399418 1.75796681850947e-07 2.98107211254035e-08 3.26244120868438e-08 7.22078434228181e-08 0.0144937552161202 0.748758455763368 0.632736162488864 0.379092368121514 0.000485183079718898
PSME4 0.00113908001078422 0.524149762324691 0.181976144599005 0.121736610553817 0.103934306147574 0.102331892148145 0.273758279541048 0.279678109666687 0.026840159669127 0.91663567513445 0.33979060072584
ARPC3 2.43648816357078e-05 0.132385751466176 0.0790226963539549 0.0649990823341453 0.0715887364929593 0.087874720755124 0.0894173110914069 0.948934629269905 0.486494209159701 0.849174858873088 0.111217100734872
BANF1 0.00909962293877697 0.239048479619509 0.298118128829861 0.538506947236987 0.517420996898318 0.314096614063917 0.686399349978813 0.519075502127493 0.166563181382855 0.755460176287788 0.028023129404817
CAST 6.97465512555784e-06 0.892454099167747 0.865684139217575 0.854159685863954 0.79767131860081 0.728288957502212 0.944227336338836 0.185068094474966 0.645426155254664 0.943585424326337 0.401827686787902
UQCR11 0.00260925873442708 0.000579243629157955 0.000239776266432568 0.000256847753884459 0.000370251402272981 0.000576617502074717 0.403810030724265 0.0444829711275603 0.506966348896272 0.233168398172643 0.0138609438754072
MYL9 0.00204593737625858 0.342878948742246 0.565298383754558 0.5073176866768 0.430431566922705 0.37618553119511 0.899549085014051 0.805741707946189 0.976332044309111 0.0458071018320075 0.768329017131781
FUS 0.13735455275813 0.0170444359366331 0.00135617181078462 0.000901705208619097 0.00109292572137432 0.00176134469839928 0.901568249690604 0.784858104381603 0.379680775729601 0.826368130374681 0.0181385086317509
IFI6 0.000784501483088507 6.55308408736843e-06 9.97590684836958e-06 6.95939048345195e-06 2.67882539768394e-05 6.80065732696633e-05 0.394607122975898 0.62951739952498 0.169372801205523 0.369750453467347 1.35462609331949e-05
POLD4 0.0401518907263474 0.999794182115207 0.809113047418543 0.696149655368502 0.688336166135818 0.710443081090094 0.742881329656528 0.509526045211012 0.344079305984467 0.226723382817425 0.914211230116857
GPR135 0.499673971207359 0.0648763003515109 0.146233875959284 0.254704057435002 0.341642532182467 0.411949060189881 0.643985454826869 0.441014604594562 0.862885918484286 0.211174918391914 0.20033869664824
OPA1 2.16597026967413e-05 0.297974467588817 0.534917805037952 0.721677865651815 0.844391179550502 0.914457298624625 0.305780742580315 0.0492041640707535 0.026693519478199 0.84274494034717 0.451566575572718
SNX9 0.000583280098349293 0.0644834919433732 0.382407718932803 0.320257313734007 0.26215676482827 0.257290088249856 0.0862767741622756 0.454839043632972 0.138828310397477 0.196545063880525 0.343287197779757
FAH 0.625644017480289 0.288109862302157 0.0653078353588313 0.0377755156453108 0.0335709777226971 0.0352713149280113 0.823470082632896 0.129194793567847 0.106590720575216 0.984670536855256 0.552695037131265
SLC39A10 0.0387899443210326 0.749537426043876 0.400143428831201 0.372074456186072 0.394054619806862 0.439426319599288 0.693194286997373 0.448321487294834 0.0993057997283067 0.902681715499949 0.526824637426402
TRAPPC13 0.012978145138498 0.873551006549656 0.975281183837377 0.932551753689548 0.889389605627103 0.868610538112374 0.0174687930270016 0.926721477154969 0.184379874194034 0.618729408584157 0.969309552458471
DUSP10 0.167641665051252 0.270773121043195 0.27513188044975 0.104511943105465 0.0388085798791092 0.017865558618932 0.0173961241399592 0.36417793411054 0.489326462479363 0.866346624513093 0.493866664639524
HSP90AB1 0.00348074699284973 0.00666313472172642 2.89319784609887e-05 1.39452906232629e-05 2.00663063402162e-05 4.7191449613182e-05 0.386309277081867 0.122797067826119 0.250452838257428 0.622245119858168 0.00127391450602121
MBD2 4.65894316570292e-06 0.115295586820103 0.0910926496422124 0.090821188887197 0.103615411804619 0.125545735739775 0.899619385557813 0.69118346385432 0.670114304186292 0.412075556262709 0.136142812408889
CCDC115 0.0791012802529089 0.59862794298626 0.886173668660024 0.701322372394022 0.591793763099984 0.528260340447704 0.277157339842369 0.821209077225079 0.706384313193933 0.201120512360902 0.783706596010298
TXNIP 0.00219619754012579 0.404316853322514 0.207761013103177 0.106919920971358 0.0755692124688201 0.0633938390945226 0.213490885289144 0.38707776040424 0.353489839932173 0.925237486925588 0.856766687721464
ANXA9 0.152317309621625 0.0737010000474585 0.0234598700305579 0.0294096641926549 0.0416716761541243 0.0578141757239519 0.715203772869004 0.313825331462106 0.0380746846590296 0.680433716910833 0.0640974961765602
DPP3 0.257893099349459 0.0209579436966754 0.0234606902454856 0.0420105225859213 0.0637002831952574 0.0878456027507142 0.810522255157963 0.86476679549429 0.927985770848985 0.152878011751355 0.020819513016184
MTF2 0.113240093842098 0.386965684482131 0.197779351254281 0.167351056303831 0.16331537053675 0.172175962938007 0.495751970168436 0.554417940163447 0.0822801247628354 0.935760019422096 0.533587961758204
TMBIM6 0.000875883562294844 0.000281313638634484 4.50655603034811e-06 2.53528312559117e-07 3.04760197003292e-07 4.43506333702715e-06 0.0225546378953128 0.493047951684307 0.0575320168705973 0.776583914003526 0.000333782186853981
CTSO 0.00115796588871553 0.0278169595266593 0.0699369900230196 0.0514846965170177 0.0280697548845846 0.0166205722737712 0.248569843093729 0.361028766900099 0.619381692598805 0.234638739096316 0.0944442060818537
ADD1 0.128033826334116 0.339315162408937 0.0545889047945916 0.0286625021253913 0.0265761372127487 0.0359875183204523 0.666008121455618 0.247666234248907 0.193062483798554 0.913289459940908 0.186516075170118
TMEM63B 0.105277653673899 0.117488781135903 0.160110939637059 0.200718942394621 0.224639004033344 0.240816154977988 0.951640734081939 0.355647268983114 0.0352560642912068 0.402807207288016 0.119690862543812
IGFBP7 8.38042209605483e-06 0.152057399463337 0.0479505276948504 0.0245599428483185 0.0170397184922371 0.0151279857170381 0.137459018293957 0.867813996163238 0.323435894081368 0.301362473507708 0.297264486494438
H1FX 0.0113648823149911 0.0266297181310069 0.000743778038058251 0.000461489600127041 0.000724339075270031 0.00167999356771897 0.190468397018869 0.743966787944429 0.732431663843974 0.982586770662696 0.00620389893660633
ALDH1B1 0.00414536719526315 0.526371742361934 0.107597686353893 0.0765935189305269 0.0753114672231485 0.0881872264079594 0.0179619993421096 0.704422166476658 0.0662112009120825 0.333158256386507 0.211238318533281
TXNDC17 0.00143019016403623 0.0295739672455789 0.00215485992023856 0.00167895053272538 0.00292435590873241 0.00698631066995459 0.911653793727831 0.863564850999972 0.082465523862933 0.271219553850067 0.00640222522304479
MMS19 0.222141572890362 0.385030537254625 0.309369278761198 0.303110855412726 0.324703710670664 0.356117249757268 0.364430842001807 0.987524588952768 0.432155714508719 0.933695003806382 0.53430856376067
CFDP1 0.00235503695652417 0.982091566791408 0.90032457468888 0.857150455518103 0.81778284155025 0.802666603989208 0.0667319966020398 0.393954774335169 0.210890785760024 0.814097330140334 0.983275698842859
TAF7 0.0110268136959375 0.839987297422375 0.542914297272081 0.366365383765681 0.300048520042738 0.27033126003658 0.0895534092828919 0.885013812144511 0.490947909291645 0.347339988144042 0.999231975506172
PARK7 0.00226941924035551 0.181928168556234 0.0222610392745648 0.0105641272384622 0.00885652361340428 0.00968661233502632 0.0699567691503367 0.998159418071927 0.670535982384271 0.972485855993971 0.197082027762152
